X_Coord,Y_Coord,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,606344975,way,12.5,hospital,hospital,Riversite Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,84316731,2,2020/04/29 07:31:18+00,cbab01fe83a34421a2489a7a36b88948
36.35149528,0.039231037,9810337113,node,9.375,hospital,,o,,,,,,,,,,,,,,,,,,,,,,,,122239334,1,2022/06/11 08:27:28+00,df0388cbdff44e4d81c4434192577662
34.77146185,-0.676844758,8187913519,node,15.625,pharmacy,pharmacy,Shivling,,,,,,,,,,,yes,,,,,,,,,,,,,113752869,3,2021/11/14 07:09:04+00,dcb23539aa28494ea9a1ce1775dbf842
34.84822693,-0.370387542,8659509434,node,12.5,hospital,hospital,Free Clinic,,,,,,,,,,,,,,,,,,,,,,,,103494274,1,2021/04/23 16:14:41+00,d7df3725429b4b668b17dd56b0f4afc2
,,295051345,way,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,24436847,1,2014/07/30 07:15:40+00,a648d9ba16684a7790f9ecb39d8ac628
36.87629998,-1.309770061,8894604390,node,12.5,pharmacy,pharmacy,Duka la dawa,,,,,,,,,,,,,,,,,,,,,,,,107429931,1,2021/07/05 09:39:09+00,ffad7ee4c4ec40ec95a98323f594b278
39.40731774,-3.555363561,3421461757,node,12.5,hospital,,mitangani dispensary,,,,government,,,,,,,,,,,,,,,,,,,,30194481,2,2015/04/13 18:07:51+00,9a5e7e1672a347e0bdf4ec7dd541b9a5
35.73242384,-0.25234654,2165018906,node,15.625,pharmacy,,One Door Stop,,Field Survey,,,,,,,,,yes,,,,,,,,,,,,,15108838,1,2013/02/21 08:11:26+00,a70339ee2b004046b5e794e02652a067
36.89277964,-1.352216019,8415862317,node,25,clinic,clinic,Africare Ltd (South C),,,,private,operational,Mo-Fr 08:00-17:00,0,,,,,,,,,,,,,,,,,99127591,1,2021/02/11 18:08:01+00,91284e7c072f40e9986502be28f3fa8a
36.78202922,-1.308008437,6969796687,node,9.375,clinic,,Regatta Medical,,,,,,,,,,,,,,,,,,,,,,,,135045277,2,2023/04/18 07:38:35+00,33ad028095dd47c7b7163d229a348069
36.89092448,-1.257696315,8962983524,node,12.5,hospital,hospital,Mkunga Hospital,,,,,,,,,,,,,,,,,,,,,,,,129039423,2,2022/11/17 12:14:52+00,85fa05ef03284b2fbfd64fb04e3d8835
36.66388202,-1.245332001,7321483785,node,31.25,pharmacy,pharmacy,Greatmed  medical center,,,,private,,Mo-Fr 08:00-20:00,,,,,yes,yes,,,water_works,grid,,,,,,,,154622336,2,2024/07/30 21:15:48+00,93bd5a3f92d146a39f2ca723c432c79c
37.14107927,-0.462000151,12666291901,node,25,clinic,clinic,KIARITHAINI DISPENSARY,,,,,,,,,,,,,,public,,,,,,,Ihwagi Kagochi Road,10101,Gĩakaibĩi,163638822,1,2025/03/15 07:26:51+00,00f7205a8179489db6d890da49e18cea
36.87759976,-1.309508714,1446059252,node,15.625,pharmacy,pharmacy,Medical clinic,,,,,,,,,,,yes,,,,,,,,,,,,,71595767,2,2019/06/25 11:16:52+00,dc240be808bd4f5ea3b7270d63829bb1
